,sample_id,index,rr_interval
0,0,0,856
1,0,1,856
2,0,2,856
3,0,3,865
4,0,4,837
5,0,5,846
6,0,6,856
7,0,7,856
8,0,8,837
9,0,9,865
10,0,10,875
11,0,11,846
12,0,12,856
13,0,13,875
14,0,14,846
15,0,15,846
16,0,16,856
17,0,17,846
18,0,18,837
19,0,19,865
20,0,20,856
21,0,21,846
22,0,22,865
23,0,23,875
24,0,24,846
25,0,25,856
26,0,26,856
27,0,27,837
28,0,28,846
29,0,29,865
30,0,30,856
31,0,31,856
32,0,32,885
33,0,33,865
34,0,34,865
35,0,35,875
36,0,36,875
37,0,37,856
38,0,38,865
39,0,39,865
40,0,40,846
41,0,41,856
42,0,42,875
43,0,43,856
44,0,44,846
45,0,45,856
46,0,46,827
47,0,47,817
48,0,48,846
49,0,49,856
50,0,50,846
51,0,51,865
52,0,52,875
53,0,53,865
54,0,54,865
55,0,55,865
56,0,56,865
57,0,57,827
58,0,58,846
59,0,59,817
60,0,60,808
61,0,61,827
62,0,62,837
63,0,63,827
64,0,64,846
65,0,65,865
66,0,66,837
67,0,67,837
68,0,68,865
69,0,69,856
70,0,70,856
71,0,71,846
72,0,72,846
73,0,73,827
74,0,74,827
75,0,75,856
76,0,76,827
77,0,77,846
78,0,78,846
79,0,79,827
80,0,80,837
81,0,81,846
82,0,82,846
83,0,83,846
84,0,84,846
85,0,85,846
86,0,86,846
87,0,87,865
88,0,88,856
89,0,89,827
90,0,90,827
91,0,91,837
92,0,92,827
93,0,93,837
94,0,94,856
95,0,95,856
96,0,96,837
97,0,97,846
98,0,98,865
99,0,99,827
100,0,100,846
101,0,101,885
102,0,102,885
103,0,103,846
104,0,104,856
105,0,105,846
106,0,106,846
107,0,107,837
108,0,108,875
109,0,109,875
110,0,110,846
111,0,111,846
112,0,112,865
113,0,113,856
114,0,114,846
115,0,115,846
116,0,116,846
117,0,117,827
118,0,118,827
119,0,119,827
120,0,120,856
121,0,121,837
122,0,122,827
123,0,123,846
124,0,124,837
125,0,125,846
126,0,126,846
127,0,127,856
128,0,128,846
129,0,129,846
130,0,130,865
131,0,131,846
132,0,132,846
133,0,133,837
134,0,134,846
135,0,135,817
136,0,136,827
137,0,137,827
138,0,138,827
139,0,139,817
140,0,140,837
141,0,141,837
142,0,142,827
143,0,143,837
144,0,144,837
145,0,145,817
146,0,146,856
147,0,147,856
148,0,148,837
149,0,149,837
150,0,150,856
151,0,151,846
152,0,152,827
153,0,153,865
154,0,154,875
155,0,155,846
156,0,156,837
157,0,157,827
158,0,158,827
159,0,159,837
160,0,160,837
161,0,161,827
162,0,162,817
163,0,163,827
164,0,164,837
165,0,165,846
166,0,166,837
167,0,167,875
168,0,168,875
169,0,169,865
170,0,170,827
171,0,171,827
172,0,172,837
173,0,173,817
174,0,174,817
175,0,175,837
176,0,176,846
177,0,177,827
178,0,178,817
179,0,179,827
180,0,180,817
181,0,181,808
182,0,182,827
183,0,183,837
184,0,184,817
185,0,185,817
186,0,186,856
187,0,187,837
188,0,188,837
189,0,189,846
190,0,190,837
191,0,191,827
192,0,192,837
193,0,193,846
194,0,194,827
195,0,195,837
196,0,196,846
197,0,197,846
198,0,198,827
199,1,0,837
200,1,1,837
201,1,2,827
202,1,3,837
203,1,4,827
204,1,5,865
205,1,6,856
206,1,7,856
207,1,8,865
208,1,9,856
209,1,10,856
210,1,11,846
211,1,12,846
212,1,13,846
213,1,14,837
214,1,15,827
215,1,16,837
216,1,17,846
217,1,18,856
218,1,19,837
219,1,20,827
220,1,21,827
221,1,22,817
222,1,23,808
223,1,24,865
224,1,25,923
225,1,26,923
226,1,27,904
227,1,28,933
228,1,29,913
229,1,30,904
230,1,31,875
231,1,32,904
232,1,33,904
233,1,34,856
234,1,35,865
235,1,36,894
236,1,37,913
237,1,38,885
238,1,39,865
239,1,40,865
240,1,41,856
241,1,42,827
242,1,43,837
243,1,44,846
244,1,45,846
245,1,46,865
246,1,47,885
247,1,48,894
248,1,49,885
249,1,50,875
250,1,51,913
251,1,52,885
252,1,53,837
253,1,54,827
254,1,55,846
255,1,56,856
256,1,57,933
257,1,58,856
258,1,59,846
259,1,60,856
260,1,61,856
261,1,62,837
262,1,63,856
263,1,64,865
264,1,65,856
265,1,66,856
266,1,67,856
267,1,68,846
268,1,69,856
269,1,70,865
270,1,71,856
271,1,72,837
272,1,73,837
273,1,74,837
274,1,75,817
275,1,76,808
276,1,77,817
277,1,78,817
278,1,79,817
279,1,80,808
280,1,81,837
281,1,82,846
282,1,83,846
283,1,84,837
284,1,85,856
285,1,86,865
286,1,87,856
287,1,88,856
288,1,89,846
289,1,90,865
290,1,91,875
291,1,92,856
292,1,93,846
293,1,94,856
294,1,95,865
295,1,96,856
296,1,97,837
297,1,98,856
298,1,99,856
299,1,100,837
300,1,101,808
301,1,102,808
302,1,103,827
303,1,104,817
304,1,105,827
305,1,106,856
306,1,107,846
307,1,108,837
308,1,109,846
309,1,110,856
310,1,111,837
311,1,112,846
312,1,113,846
313,1,114,865
314,1,115,856
315,1,116,856
316,1,117,885
317,1,118,865
318,1,119,885
319,1,120,875
320,1,121,856
321,1,122,846
322,1,123,865
323,1,124,856
324,1,125,846
325,1,126,846
326,1,127,846
327,1,128,856
328,1,129,837
329,1,130,827
330,1,131,837
331,1,132,846
332,1,133,846
333,1,134,827
334,1,135,856
335,1,136,837
336,1,137,817
337,1,138,798
